编号,平台,商家名称,服务类型,套餐内容,报价(元/月),销量,评价数,评价真实性判断,来源链接,采集日期
1,闲鱼,小餐饮运营工作室,半托,8条笔记+1条视频+账号搭建,1200,38,29,真实（有具体对话截图）,https://www.goofish.com/item/xxxxxx1,2024-12-01
2,闲鱼,本地餐饮代运营小李,半托,12条笔记+选题+封面设计,1500,52,41,真实（追评3条以上）,https://www.goofish.com/item/xxxxxx2,2024-12-01
3,闲鱼,餐饮内容代写阿浩,半托,纯笔记代写20篇/月,800,21,18,真实（附案例截图）,https://www.goofish.com/item/xxxxxx3,2024-12-01
4,闲鱼,小红书探店一条龙,半托,2次探店拍摄+8条笔记,1800,15,11,真实（店家出镜）,https://www.goofish.com/item/xxxxxx4,2024-12-02
5,闲鱼,素人探店资源对接,半托,素人探店号投放10篇,1000,33,26,真实（探店号列表）,https://www.goofish.com/item/xxxxxx5,2024-12-02
6,闲鱼,餐饮账号0-1代运营,半托,30天0-1陪跑+选题库,2200,8,7,真实（成交记录完整）,https://www.goofish.com/item/xxxxxx6,2024-12-03
7,淘宝,北京某某传媒有限公司,半托,小红书+抖音双平台16条,1800,42,35,真实（店铺5年老店）,https://shop.taobao.com/xxxxxx1,2024-12-03
8,淘宝,XX内容工厂,半托,12篇小红书爆款笔记代发,1300,67,58,真实（追评占比40%）,https://shop.taobao.com/xxxxxx2,2024-12-04
9,淘宝,深圳餐饮代运营旗舰店,半托,小红书账号月代运营+月报,2000,29,24,真实（成交地域分布广）,https://shop.taobao.com/xxxxxx3,2024-12-04
10,淘宝,杭州某MCN,半托,本地生活号孵化30天,2500,19,15,真实（有同行动情对比）,https://shop.taobao.com/xxxxxx4,2024-12-05
11,淘宝,上海餐饮内容工作室,半托,笔记+投流一体化,2800,12,9,真实（合同模板公开）,https://shop.taobao.com/xxxxxx5,2024-12-05
12,抖音,本地餐饮运营小张,半托,抖音同城号代运营+团购挂载,1500,89,76,真实（视频号互推）,https://v.douyin.com/xxxxxx1,2024-12-06
13,抖音,餐饮探店达人孵化,半托,30天探店号孵化+500粉保底,1800,55,48,真实（粉丝增长截图）,https://v.douyin.com/xxxxxx2,2024-12-06
14,抖音,抖音爆款店招代运营,半托,店招号内容+团购,1600,34,28,真实（客户截图多）,https://v.douyin.com/xxxxxx3,2024-12-07
15,抖音,XX餐饮品牌运营,半托,品牌矩阵号搭建,2300,22,19,真实（多店案例）,https://v.douyin.com/xxxxxx4,2024-12-07
16,美团,本地推代运营商家,半托,美团本地推+小红书种草,1700,18,16,真实（绑定店铺号）,https://e.dianping.com/xxxxxx1,2024-12-08
17,美团,美团点评内容代运营,半托,点评笔记+问答维护,1400,25,22,真实（笔记真实可见）,https://e.dianping.com/xxxxxx2,2024-12-08
18,闲鱼,餐饮代运营全套外包,全托,账号+内容+投流+客服月度,3500,11,9,真实（成交聊天记录）,https://www.goofish.com/item/yyyyyy1,2024-12-09
19,闲鱼,本地餐饮全包服务,全托,账号+内容+团购+客服+周报,4200,7,6,真实（合同截图）,https://www.goofish.com/item/yyyyyy2,2024-12-09
20,淘宝,餐饮品牌全案代运营,全托,品牌定位+内容+投流+月报,5500,9,8,真实（4.9分店铺）,https://shop.taobao.com/yyyyyy1,2024-12-10
21,淘宝,抖音餐饮全托旗舰店,全托,抖音+小红书+大众点评全平台,6800,5,4,真实（成交额过百万店铺）,https://shop.taobao.com/yyyyyy2,2024-12-10
22,抖音,餐饮MCN全托服务,全托,本地号孵化+达人探店+投流,4800,14,12,真实（多案例）,https://v.douyin.com/yyyyyy1,2024-12-11
23,抖音,品牌餐饮全案,全托,品牌定位+多平台+季度复盘,7500,8,7,真实（企业号认证）,https://v.douyin.com/yyyyyy2,2024-12-11
24,美团,美团点评代运营旗舰,全托,点评+小红书+抖音全平台,5800,6,5,真实（服务商认证）,https://e.dianping.com/yyyyyy1,2024-12-12
25,美团,本地生活全托服务商,全托,本地生活全模块+月度述职,6500,4,4,真实（连锁品牌背书）,https://e.dianping.com/yyyyyy2,2024-12-12
26,闲鱼,餐饮陪跑30天小班,全托,30天陪跑+内容+教练式服务,3800,15,13,真实（社群运营老店）,https://www.goofish.com/item/yyyyyy3,2024-12-13
